PPG,Serial_No,noise_ppg(.10),noise_ppg,noise_ppg(0.07)
-0.366,59,-0.321102893,-0.357471516,-0.350209847
-0.366,60,-0.344770196,-0.353765079,-0.350182101
-0.366,61,-0.380945451,-0.369075442,-0.368998413
-0.376,62,-0.353909529,-0.38025247,-0.359107218
-0.376,63,-0.306254642,-0.37342158,-0.389320755
-0.376,64,-0.354744467,-0.378984814,-0.372860664
-0.376,65,-0.392254031,-0.391862339,-0.312152192
-0.386,66,-0.393304204,-0.388985898,-0.37349044
-0.386,67,-0.393583644,-0.378424838,-0.396213129
-0.386,68,-0.354184765,-0.396800415,-0.398417943
-0.386,69,-0.413902081,-0.398462465,-0.391878605
-0.395,70,-0.345700087,-0.38619601,-0.405849266
-0.395,71,-0.367447807,-0.3915765,-0.447906879
-0.395,72,-0.373942937,-0.387770939,-0.387218254
-0.395,73,-0.421262777,-0.412732912,-0.388902163
-0.408,74,-0.436879303,-0.420801371,-0.419832964
-0.408,75,-0.475216551,-0.411816985,-0.40832983
-0.408,76,-0.42314465,-0.418108391,-0.359902497
-0.408,77,-0.377308503,-0.40300119,-0.408597235
-0.414,78,-0.432395766,-0.421235386,-0.408366792
-0.414,79,-0.416192755,-0.396080051,-0.408751997
-0.414,80,-0.406208966,-0.418513691,-0.412613928
-0.414,81,-0.417095813,-0.419987966,-0.398360905
-0.427,82,-0.45597941,-0.441288999,-0.432500145
-0.427,83,-0.345972536,-0.420142474,-0.420290748
-0.427,84,-0.422452584,-0.417261104,-0.418736899
-0.427,85,-0.445074011,-0.41020113,-0.391601779
-0.433,86,-0.441496436,-0.432557361,-0.45339788
-0.433,87,-0.53179159,-0.429592889,-0.445458418
-0.433,88,-0.405000705,-0.434135446,-0.444043638
-0.433,89,-0.423553995,-0.445154602,-0.422921418
-0.44,90,-0.414618587,-0.433915533,-0.387229759
-0.44,91,-0.414655494,-0.44184557,-0.451475542
-0.44,92,-0.413445056,-0.464668622,-0.441686842
-0.44,93,-0.445733588,-0.427320424,-0.429037282
-0.45,94,-0.398293442,-0.43062375,-0.449383369
-0.45,95,-0.439593856,-0.453724589,-0.432173498
-0.45,96,-0.420107859,-0.458440858,-0.458394285
-0.45,97,-0.462741772,-0.44564366,-0.460635875
-0.456,98,-0.433516322,-0.465158071,-0.482193319
-0.456,99,-0.427342817,-0.453527638,-0.418579122
-0.456,100,-0.476505968,-0.450319867,-0.479471671
-0.456,101,-0.449666374,-0.455047311,-0.460257316
-0.462,102,-0.505039977,-0.467789822,-0.473684921
-0.462,103,-0.45568319,-0.449811233,-0.454275603
-0.462,104,-0.516235254,-0.454657656,-0.486578911
-0.462,105,-0.476356096,-0.461082982,-0.452423519
-0.471,106,-0.555264013,-0.463008066,-0.460439246
-0.471,107,-0.496691771,-0.477460335,-0.43755017
-0.471,108,-0.414182786,-0.475444471,-0.436882664
-0.471,109,-0.438695733,-0.468710211,-0.486973829
-0.478,110,-0.490273009,-0.483142141,-0.484318834
-0.478,111,-0.443907472,-0.470298674,-0.487589717
-0.478,112,-0.492094847,-0.49264802,-0.447542363
-0.478,113,-0.425065358,-0.458184626,-0.48603746
-0.478,114,-0.437564691,-0.497824195,-0.419111448
-0.478,115,-0.482152808,-0.475277295,-0.496835546
-0.478,116,-0.482785581,-0.473971165,-0.482656082
-0.478,117,-0.474274029,-0.471975391,-0.46142161
-0.487,118,-0.432308726,-0.477036819,-0.439694941
-0.487,119,-0.445327663,-0.495411758,-0.482859057
-0.487,120,-0.522297311,-0.480803802,-0.482283318
-0.487,121,-0.475892461,-0.483172543,-0.481999524
-0.491,122,-0.496309787,-0.485246981,-0.530642876
-0.491,123,-0.455619929,-0.488800767,-0.470305978
-0.491,124,-0.490247108,-0.479878561,-0.484336408
-0.491,125,-0.437926197,-0.482147118,-0.517197049
-0.503,126,-0.507178976,-0.512844158,-0.534662096
-0.503,127,-0.550751866,-0.504170413,-0.522809474
-0.503,128,-0.486950939,-0.523202302,-0.478401735
-0.503,129,-0.469809959,-0.504297069,-0.508049189
-0.506,130,-0.506771937,-0.532666705,-0.51519672
-0.506,131,-0.505609501,-0.498983208,-0.521867738
-0.506,132,-0.522048279,-0.512659478,-0.508331674
-0.506,133,-0.526698203,-0.499058341,-0.487759749
-0.513,134,-0.459669854,-0.514257855,-0.496999302
-0.513,135,-0.522727781,-0.50115651,-0.503108813
-0.513,136,-0.534602865,-0.511188711,-0.524041537
-0.513,137,-0.552251404,-0.529197844,-0.488705237
-0.519,138,-0.519673264,-0.493498457,-0.555400509
-0.519,139,-0.464028808,-0.522997166,-0.514063794
-0.519,140,-0.535201419,-0.531518441,-0.50573003
-0.519,141,-0.521347721,-0.510025222,-0.506030992
-0.522,142,-0.535272754,-0.529609034,-0.554144889
-0.522,143,-0.530201697,-0.510986915,-0.534790525
-0.522,144,-0.518180196,-0.508977963,-0.521266912
-0.522,145,-0.49891392,-0.517368171,-0.544266369
-0.526,146,-0.551057561,-0.530906586,-0.515752014
-0.526,147,-0.54234098,-0.521046025,-0.479587864
-0.526,148,-0.513472687,-0.528634499,-0.519941881
-0.526,149,-0.500029399,-0.538388675,-0.49573046
-0.532,150,-0.521258227,-0.516624175,-0.585322617
-0.532,151,-0.506184428,-0.536289362,-0.522245236
-0.532,152,-0.557876434,-0.534838665,-0.551991605
-0.532,153,-0.5362133,-0.54720884,-0.524316075
-0.535,154,-0.536034048,-0.534062366,-0.551900919
-0.535,155,-0.530155386,-0.533316597,-0.573744448
-0.535,156,-0.496766082,-0.5482341,-0.549785029
-0.535,157,-0.527824957,-0.53347444,-0.572726985
-0.532,158,-0.523605892,-0.522213437,-0.519699895
-0.532,159,-0.500229439,-0.520505398,-0.547195277
-0.532,160,-0.56322099,-0.54080784,-0.491225496
-0.532,161,-0.490730584,-0.534907408,-0.528971445
-0.537,162,-0.473707854,-0.52867884,-0.514547149
-0.537,163,-0.559042306,-0.561424234,-0.570070574
-0.537,164,-0.555108483,-0.534469532,-0.572635857
-0.537,165,-0.481646697,-0.523464674,-0.561011513
-0.531,166,-0.584467748,-0.547150381,-0.565072814
-0.531,167,-0.547445537,-0.527209023,-0.580053393
-0.531,168,-0.567163468,-0.539791368,-0.500025501
-0.531,169,-0.579854427,-0.516480173,-0.504117173
-0.521,170,-0.546076594,-0.518762993,-0.515377334
-0.521,171,-0.538073248,-0.509508496,-0.496287098
-0.521,172,-0.497965063,-0.53189338,-0.477868729
-0.521,173,-0.528206779,-0.529787936,-0.506652216
-0.505,174,-0.508739118,-0.51119768,-0.485175948
-0.505,175,-0.552491694,-0.487690635,-0.496233145
-0.505,176,-0.495509397,-0.497615034,-0.476714889
-0.505,177,-0.440769506,-0.507458878,-0.533414396
-0.486,178,-0.497290085,-0.48183793,-0.477152142
-0.486,179,-0.478613176,-0.470053749,-0.466858742
-0.486,180,-0.531197177,-0.49420375,-0.464209947
-0.486,181,-0.431405136,-0.468066942,-0.532063041
-0.451,182,-0.427984939,-0.447726706,-0.492477075
-0.451,183,-0.418985596,-0.455793826,-0.444664122
-0.451,184,-0.447225273,-0.44799837,-0.450860557
-0.451,185,-0.480548886,-0.45278421,-0.45109218
-0.409,186,-0.390676836,-0.407656167,-0.441150851
-0.409,187,-0.360303661,-0.385042394,-0.354660324
-0.409,188,-0.408626628,-0.415912071,-0.404314948
-0.409,189,-0.433719349,-0.418565139,-0.397706889
-0.357,190,-0.371431196,-0.355129182,-0.361864947
-0.357,191,-0.43213979,-0.365908941,-0.369067194
-0.357,192,-0.320361699,-0.356515244,-0.371179369
-0.357,193,-0.298077947,-0.350220122,-0.326994516
-0.296,194,-0.231858012,-0.307414163,-0.2949171
-0.296,195,-0.279159242,-0.303917255,-0.306466751
-0.296,196,-0.295429528,-0.300708964,-0.324773206
-0.296,197,-0.265419988,-0.29492075,-0.295397032
-0.232,198,-0.215825587,-0.231739556,-0.248478721
-0.232,199,-0.298715003,-0.244370891,-0.231044321
-0.232,200,-0.207133913,-0.254776378,-0.216387566
-0.232,201,-0.227225694,-0.23187351,-0.269979014
-0.158,202,-0.199901181,-0.159007955,-0.16672921
-0.158,203,-0.155255727,-0.154650489,-0.120079948
-0.158,204,-0.185528063,-0.162591279,-0.136028475
-0.158,205,-0.120258775,-0.154296133,-0.116894108
-0.081,206,-0.110275071,-0.093539572,-0.065200278
-0.081,207,-0.056294572,-0.101080813,-0.068350583
-0.081,208,-0.089269609,-0.072767141,-0.085113932
-0.081,209,-0.019265051,-0.076433541,-0.049501766
-0.006,210,-0.019728016,-0.01216075,-0.017714127
-0.006,211,-0.019874589,-0.011887093,-0.006359324
-0.006,212,-0.007605333,-0.001440036,-0.007648214
-0.006,213,-0.084241719,-0.012425207,-0.021498803
0.064,214,0.107493393,0.068428068,0.075619629
0.064,215,0.046075106,0.065255776,0.096508101
0.064,216,0.021404028,0.064462287,0.067486671
0.064,217,0.101786304,0.080505862,0.050902627
0.132,218,0.090229803,0.127700303,0.108326933
0.132,219,0.163050198,0.132945588,0.150708688
0.132,220,0.108478225,0.113458394,0.16272695
0.132,221,0.122960385,0.144314389,0.112140552
0.193,222,0.191116219,0.189927136,0.19249572
0.193,223,0.203530556,0.194994776,0.23833509
0.193,224,0.20435042,0.193059756,0.158729078
0.193,225,0.184493932,0.200332261,0.224723723
0.247,226,0.23632906,0.223966176,0.243562372
0.247,227,0.239039089,0.236400553,0.23695911
0.247,228,0.179817119,0.237652863,0.241580393
0.247,229,0.255774075,0.271036984,0.24787822
0.292,230,0.332378392,0.287058921,0.299342835
0.292,231,0.326271225,0.285758205,0.296414125
0.292,232,0.222237678,0.301891269,0.365879832
0.292,233,0.350689627,0.302954668,0.294930418
0.332,234,0.356487699,0.337926297,0.314748153
0.332,235,0.341505825,0.327373462,0.351322545
0.332,236,0.333583138,0.32663895,0.307339522
0.332,237,0.360010243,0.324117194,0.316377398
0.36,238,0.375517506,0.35962087,0.358584104
0.36,239,0.357270205,0.355678949,0.339716936
0.36,240,0.369401766,0.363566775,0.375722012
0.36,241,0.357961767,0.37224387,0.34921843
0.38,242,0.364342079,0.370084475,0.39169316
0.38,243,0.394562153,0.379059089,0.333240716
0.38,244,0.328512132,0.38123531,0.400037484
0.38,245,0.365331796,0.373514,0.384517359
0.393,246,0.41292765,0.388287222,0.386038037
0.393,247,0.33981155,0.381105844,0.402357094
0.393,248,0.380438472,0.372372873,0.412100358
0.393,249,0.362812826,0.40377555,0.405592599
0.399,250,0.43007494,0.408300677,0.407144477
0.399,251,0.362484272,0.409634861,0.363797145
0.399,252,0.437137972,0.396908545,0.349673343
0.399,253,0.400928078,0.400585091,0.41859314
0.399,254,0.37704837,0.407437886,0.410788732
0.399,255,0.39465483,0.389348088,0.419200763
0.399,256,0.373320494,0.411853337,0.421301443
0.399,257,0.396488774,0.410411664,0.40598436
0.39,258,0.508736862,0.383005969,0.369570378
0.39,259,0.410934426,0.391825845,0.353431407
0.39,260,0.426410823,0.373627057,0.417149183
0.39,261,0.441727214,0.39682867,0.380728503
0.377,262,0.326502126,0.360627598,0.38945135
0.377,263,0.372964477,0.378066673,0.396301257
0.377,264,0.403405811,0.37001366,0.371700372
0.377,265,0.3155962,0.38886484,0.406242857
0.354,266,0.338785349,0.353009873,0.365818959
0.354,267,0.374661734,0.355343142,0.35939454
0.354,268,0.416657163,0.36085023,0.323447772
0.354,269,0.437138797,0.343296806,0.332414891
0.332,270,0.30969931,0.356952728,0.320267926
0.332,271,0.368409204,0.329580613,0.327855631
0.332,272,0.285895807,0.339325162,0.345605459
0.332,273,0.387459915,0.342792936,0.339965175
0.296,274,0.277918656,0.27561354,0.265181157
0.296,275,0.328674684,0.30057392,0.296905269
0.296,276,0.33893532,0.297669209,0.328820355
0.296,277,0.256208309,0.301226851,0.315027633
0.261,278,0.287015453,0.258760964,0.247416622
0.261,279,0.264891236,0.25735365,0.256270436
0.261,280,0.340786634,0.28187089,0.253827965
0.261,281,0.269321366,0.246052859,0.269746157
0.225,282,0.245182151,0.211932632,0.246402988
0.225,283,0.239436482,0.229293816,0.240059922
0.225,284,0.247949104,0.216429498,0.251459105
0.225,285,0.302301443,0.224850089,0.231766142
0.19,286,0.144213722,0.181909296,0.181168312
0.19,287,0.202446894,0.194674425,0.184390301
0.19,288,0.199872704,0.19228857,0.15954148
0.19,289,0.232324156,0.177040659,0.188509876
0.151,290,0.133968478,0.144158253,0.1861993
0.151,291,0.180843065,0.171459407,0.139887231
0.151,292,0.093689661,0.150314972,0.145305835
0.151,293,0.116644993,0.144694141,0.171459781
0.113,294,0.12537295,0.104658303,0.09519864
0.113,295,0.100780546,0.109921839,0.120731421
0.113,296,0.095169024,0.110598829,0.091530326
0.113,297,0.10082159,0.106233288,0.099649427
0.077,298,0.103994346,0.082753126,0.06789616
0.077,299,0.038654785,0.066521766,0.031628439
0.077,300,0.058217079,0.082386239,0.062235224
0.077,301,0.091504524,0.089035707,0.061552538
0.045,302,0.067901834,0.039999288,0.030813448
0.045,303,0.070515299,0.053014866,0.041150138
0.045,304,0.098523222,0.046573677,0.096691517
0.045,305,0.019702802,0.045846705,0.051860343
0.016,306,-0.008559665,0.007946084,0.030883757
0.016,307,0.005696689,0.006659363,0.023217762
0.016,308,0.040114827,0.012228452,0.040686526
0.016,309,-0.013775192,0.004422649,0.022618164
-0.017,310,-0.00710302,-0.022049144,0.02604344
-0.017,311,-0.012080268,-0.027470247,0.003740661
-0.017,312,0.034085168,-0.023887867,0.032652606
-0.017,313,-0.031118877,-0.007761779,0.014735585
-0.042,314,-0.05524026,-0.047314338,-0.05453972
-0.042,315,-0.044599729,-0.03733565,-0.065400272
-0.042,316,-0.101121968,-0.054083018,-0.032029488
-0.042,317,-0.033257648,-0.043755788,-0.047733647
-0.068,318,-0.047496106,-0.056235888,-0.043091288
-0.068,319,-0.100990535,-0.080450874,-0.080106582
-0.068,320,-0.126610339,-0.071313626,-0.05054234
-0.068,321,-0.091204792,-0.063611217,-0.097875099
-0.087,322,-0.117606829,-0.079467698,-0.030551817
-0.087,323,-0.129520509,-0.077380746,-0.066197927
-0.087,324,-0.090363101,-0.074979951,-0.11561591
-0.087,325,-0.075432491,-0.087920142,-0.083216335
-0.103,326,-0.066387529,-0.115370955,-0.082036855
-0.103,327,-0.066221728,-0.112235984,-0.09189227
-0.103,328,-0.123139638,-0.115735117,-0.134390829
-0.103,329,-0.074403132,-0.099289705,-0.100294285
-0.116,330,-0.148514196,-0.119690165,-0.073063131
-0.116,331,-0.145819355,-0.106440914,-0.13418666
-0.116,332,-0.173294156,-0.114098117,-0.10433967
-0.116,333,-0.071736978,-0.101270837,-0.111696766
-0.132,334,-0.161335867,-0.149492527,-0.136104445
-0.132,335,-0.141638745,-0.122515204,-0.095698091
-0.132,336,-0.18816263,-0.130393105,-0.111249041
-0.132,337,-0.133562051,-0.143171597,-0.132508667
-0.148,338,-0.120262058,-0.158458167,-0.156995675
-0.148,339,-0.136993576,-0.145991272,-0.07767098
-0.148,340,-0.16537652,-0.152135954,-0.177005359
-0.148,341,-0.153916601,-0.151935315,-0.129359801
-0.161,342,-0.170045585,-0.178122349,-0.172680921
-0.161,343,-0.149666002,-0.16720692,-0.161937809
-0.161,344,-0.14737783,-0.158076881,-0.1295545
-0.161,345,-0.193186041,-0.168783966,-0.148929785
-0.171,346,-0.157965359,-0.160518891,-0.226724157
-0.171,347,-0.167732476,-0.162599487,-0.184729225
-0.171,348,-0.181799746,-0.186826341,-0.180856632
-0.171,349,-0.179079178,-0.171563231,-0.135622221
-0.183,350,-0.1776506,-0.159491087,-0.199679034
-0.183,351,-0.178789206,-0.183515694,-0.178118102
-0.183,352,-0.188138658,-0.170784898,-0.153037075
-0.183,353,-0.159637198,-0.180886326,-0.154870733
-0.194,354,-0.217594868,-0.208733091,-0.160811384
-0.194,355,-0.275960168,-0.191386225,-0.206990092
-0.194,356,-0.131888434,-0.202898651,-0.160532773
-0.194,357,-0.24611934,-0.175089394,-0.257379471
-0.206,358,-0.244333028,-0.214447288,-0.17550403
-0.206,359,-0.167661046,-0.210272778,-0.170539985
-0.206,360,-0.256242332,-0.21382658,-0.221026415
-0.206,361,-0.184340792,-0.2134004,-0.218141108
-0.212,362,-0.259396058,-0.215902376,-0.229207895
-0.212,363,-0.221992636,-0.209855905,-0.217176864
-0.212,364,-0.257724487,-0.207143146,-0.198426078
-0.212,365,-0.189659802,-0.220835708,-0.167742794
-0.226,366,-0.209208647,-0.2335288,-0.249180456
-0.226,367,-0.238733535,-0.21319969,-0.231371263
-0.226,368,-0.239245039,-0.239539783,-0.201215099
-0.226,369,-0.204839812,-0.22648127,-0.226006348
-0.232,370,-0.325509552,-0.22588479,-0.268445031
-0.232,371,-0.222567202,-0.233696676,-0.215117046
-0.232,372,-0.217790406,-0.243388039,-0.232532429
-0.232,373,-0.248442403,-0.226779769,-0.204991209
-0.245,374,-0.266962708,-0.252068527,-0.263636644
-0.245,375,-0.177091814,-0.243355445,-0.246654194
-0.245,376,-0.24952833,-0.249993278,-0.28080619
-0.245,377,-0.255902867,-0.239488663,-0.261124356
-0.258,378,-0.309171956,-0.265799293,-0.240352003
-0.258,379,-0.244212409,-0.260630901,-0.230731655
-0.258,380,-0.252346125,-0.267682121,-0.267653631
-0.258,381,-0.226841932,-0.258308789,-0.24413707
-0.264,382,-0.207660214,-0.275353923,-0.284989368
-0.264,383,-0.301317539,-0.255185719,-0.26918506
-0.264,384,-0.310935674,-0.267111876,-0.270727901
-0.264,385,-0.302924905,-0.267841282,-0.27318768
-0.274,386,-0.27185445,-0.272020191,-0.278105972
-0.274,387,-0.286263349,-0.254609509,-0.238744538
-0.274,388,-0.260882473,-0.290264776,-0.268726721
-0.274,389,-0.258726047,-0.259346322,-0.269594014
-0.286,390,-0.314098378,-0.278269584,-0.294833899
-0.286,391,-0.29606441,-0.268158335,-0.240027413
-0.286,392,-0.257399155,-0.27857198,-0.290816422
-0.286,393,-0.322760387,-0.270149494,-0.26458499
-0.296,394,-0.289550046,-0.307880202,-0.283968151
-0.296,395,-0.288296604,-0.292360238,-0.332405577
-0.296,396,-0.318839686,-0.292832713,-0.268998802
-0.296,397,-0.294729259,-0.312471421,-0.304526007
-0.306,398,-0.325438726,-0.321771658,-0.301663308
-0.306,399,-0.311591875,-0.308744043,-0.280339832
-0.306,400,-0.271489217,-0.292231329,-0.32635437
-0.306,401,-0.268177583,-0.289087859,-0.277886086
-0.316,402,-0.298070649,-0.313096359,-0.316757736
-0.316,403,-0.265873956,-0.326486785,-0.317973416
-0.316,404,-0.35463188,-0.319005426,-0.370351176
-0.316,405,-0.345775222,-0.322408516,-0.316504116
-0.329,406,-0.310338808,-0.339090293,-0.354308662
-0.329,407,-0.307244069,-0.31488566,-0.36547387
-0.329,408,-0.33513777,-0.344425046,-0.371574523
-0.329,409,-0.287378224,-0.320299161,-0.355063763
-0.338,410,-0.337160597,-0.315939637,-0.346706774
-0.338,411,-0.337640964,-0.332002571,-0.329464722
-0.338,412,-0.290415762,-0.329880213,-0.367000002
-0.338,413,-0.355646934,-0.353871344,-0.302391075
-0.348,414,-0.414449539,-0.356838728,-0.368886441
-0.348,415,-0.357732475,-0.345311931,-0.347704291
-0.348,416,-0.333143732,-0.348526495,-0.333504691
-0.348,417,-0.350881502,-0.345686012,-0.343480344
-0.329,418,-0.343851037,-0.33266634,-0.329872982
-0.329,419,-0.340759339,-0.328537119,-0.330508413
-0.329,420,-0.325990092,-0.340396184,-0.341322676
-0.329,421,-0.309431568,-0.316809415,-0.332994617
-0.337,422,-0.310647801,-0.342310865,-0.356071529
-0.337,423,-0.338399048,-0.333261671,-0.361988023
-0.337,424,-0.288004333,-0.33209012,-0.285061721
-0.337,425,-0.34692153,-0.346821507,-0.345071061
-0.351,426,-0.368529744,-0.359542598,-0.377326105
-0.351,427,-0.35972411,-0.329441761,-0.393627797
-0.351,428,-0.334734638,-0.349058788,-0.328681295
-0.351,429,-0.349454856,-0.358997132,-0.374891291
-0.366,430,-0.362185885,-0.362814986,-0.374346086
-0.366,431,-0.403648413,-0.366214978,-0.319428067
-0.366,432,-0.382461321,-0.358343607,-0.348127694
-0.366,433,-0.347550452,-0.374198173,-0.319445027
-0.373,434,-0.395638157,-0.401186342,-0.410593077
-0.373,435,-0.336740147,-0.390672063,-0.391354041
-0.373,436,-0.432322727,-0.373691517,-0.342620774
-0.373,437,-0.394970755,-0.372698105,-0.382947372
-0.385,438,-0.384403269,-0.387956069,-0.402618805
-0.385,439,-0.305540325,-0.394555251,-0.371509848
-0.385,440,-0.394084215,-0.382530357,-0.426644615
-0.385,441,-0.376267519,-0.389000369,-0.412059452
-0.399,442,-0.412992941,-0.388704471,-0.430394279
-0.399,443,-0.377136639,-0.402269026,-0.410769504
-0.399,444,-0.441092357,-0.403893637,-0.398887709
-0.399,445,-0.364773476,-0.393195905,-0.401451317
-0.403,446,-0.447590804,-0.40479556,-0.36573079
-0.403,447,-0.382480301,-0.393311401,-0.365688093
-0.403,448,-0.432669667,-0.389861641,-0.415234831
-0.403,449,-0.4293917,-0.404865427,-0.391364853
-0.414,450,-0.441397769,-0.397595428,-0.443212747
-0.414,451,-0.409298772,-0.428549475,-0.37807874
-0.414,452,-0.355309099,-0.414913474,-0.422190123
-0.414,453,-0.439335806,-0.410674769,-0.425903357
-0.421,454,-0.441766072,-0.419709647,-0.429013501
-0.421,455,-0.394926191,-0.414219222,-0.39970866
-0.421,456,-0.405161145,-0.403748057,-0.393379374
-0.421,457,-0.46029725,-0.412200917,-0.430298571
-0.421,458,-0.430252746,-0.433791989,-0.421467293
-0.421,459,-0.396605321,-0.410593146,-0.37377053
-0.421,460,-0.402071498,-0.412900272,-0.423347977
-0.421,461,-0.391111121,-0.439143535,-0.411904853
-0.428,462,-0.429563564,-0.418285379,-0.420287861
-0.428,463,-0.412946008,-0.430269703,-0.446899016
-0.428,464,-0.429954548,-0.428938056,-0.494680608
-0.428,465,-0.4118155,-0.424943218,-0.417188679
-0.44,466,-0.440188948,-0.428664714,-0.437180189
-0.44,467,-0.525284459,-0.445003289,-0.447695766
-0.44,468,-0.463390207,-0.438941355,-0.388493406
-0.44,469,-0.433359818,-0.432220201,-0.391796319
-0.444,470,-0.44986866,-0.445739577,-0.477101588
-0.444,471,-0.421896052,-0.453469298,-0.428131258
-0.444,472,-0.4498944,-0.451517355,-0.422853714
-0.444,473,-0.41869207,-0.439872447,-0.407934996
-0.447,474,-0.447730909,-0.444823076,-0.399488836
-0.447,475,-0.418755101,-0.439132005,-0.41620253
-0.447,476,-0.402211425,-0.441778804,-0.420065242
-0.447,477,-0.449617337,-0.436466753,-0.437945316
-0.455,478,-0.451352864,-0.458281476,-0.438196402
-0.455,479,-0.477542238,-0.453436401,-0.434481014
-0.455,480,-0.432998179,-0.439631261,-0.443965271
-0.455,481,-0.482234771,-0.45334544,-0.495493352
-0.455,482,-0.448392126,-0.455672244,-0.491136106
-0.455,483,-0.498044382,-0.447224911,-0.450029654
-0.455,484,-0.444600538,-0.480921234,-0.427455032
-0.455,485,-0.459763684,-0.436103597,-0.437755236
-0.462,486,-0.509605137,-0.459160976,-0.475864046
-0.462,487,-0.500122475,-0.45332219,-0.443416115
-0.462,488,-0.434750425,-0.468292755,-0.442986931
-0.462,489,-0.492582201,-0.44949663,-0.423847284
-0.466,490,-0.458531313,-0.476733915,-0.471333669
-0.466,491,-0.453560368,-0.468393772,-0.447593506
-0.466,492,-0.47276909,-0.459553843,-0.496423267
-0.466,493,-0.476788495,-0.448967771,-0.446618168
-0.476,494,-0.489652802,-0.475586516,-0.513521523
-0.476,495,-0.456393007,-0.479402581,-0.467798198
-0.476,496,-0.537843275,-0.482445269,-0.458037221
-0.476,497,-0.485556615,-0.483263308,-0.485246427
-0.48,498,-0.462135407,-0.504082642,-0.469855971
-0.48,499,-0.442567829,-0.475212034,-0.503005379
-0.48,500,-0.491038705,-0.485021582,-0.510571903
-0.48,501,-0.501396464,-0.4815899,-0.518968341
-0.488,502,-0.506056667,-0.493224845,-0.478648037
-0.488,503,-0.511004023,-0.5049948,-0.477130209
-0.488,504,-0.500544838,-0.481944983,-0.483085851
-0.488,505,-0.478143748,-0.499748043,-0.474705559
-0.488,506,-0.470011742,-0.501707682,-0.491515285
-0.488,507,-0.524784744,-0.500282777,-0.498689878
-0.488,508,-0.488750235,-0.494349454,-0.49570781
-0.488,509,-0.525042505,-0.487325338,-0.520437183
-0.488,510,-0.457826133,-0.486442353,-0.470178215
-0.488,511,-0.495050183,-0.485887664,-0.499230037
